,titles,subtitles,links
0,KOUL RUNNINGS,Koulibaly to fly to LA tomorrow for medical as Chelsea agree £34m fee for ace,https://www.thesun.co.uk/sport/19189986/kalidou-koulibaly-los-angeles-chelsea-medical-transfer/
1,'IT'S NOT DONE YET',Mount reveals why he has piled on muscle and vows to bulk up even more,https://www.thesun.co.uk/sport/19189238/mason-mount-body-transformation-chelsea/
2,TURKISH DELIGHT,Ozil completes shock free transfer just 29 minutes after Fenerbahce exit,https://www.thesun.co.uk/sport/19189694/mesut-ozil-transfer-istanbul-basaksehir-fenerbahce/
3,FIT FOR A KING,Norwegian King makes shock Fenerbahce transfer after Watford release,https://www.thesun.co.uk/sport/19189291/joshua-king-fenerbahce-transfer-watford-champions-league/
4,RACING BONUS,Horse racing free bets: Bet £10 today & get £30 bonus with Spreadex,https://www.thesun.co.uk/sport/betting-tips/19163055/spreadex-new-customer-free-bets-horse-racing-bonus-offer/
5,ROB-OTIC,Barca target Lewandowski has to train with Bayern & 'hardly speaks to team-mates',https://www.thesun.co.uk/sport/football/19189200/lewandowski-bayern-training-froced-barcelona-transfer-link/
6,UNFRIENDLY,Fuming Mourinho storms pitch and tries to get player sent off in friendly game,https://www.thesun.co.uk/sport/football/19188529/jose-mourinho-sunderland-pre-season-roma/
7,RAP IT UP,Raphinha arrives in Barcelona after sealing move as Chelsea miss out on transfer,https://www.thesun.co.uk/sport/football/19184809/barcelona-raphinha-transfer-leeds-chelsea/
8,RON THE MOVE,Cristiano Ronaldo's close pal who announced Madrid exit hints at his next club,https://www.thesun.co.uk/sport/football/19182161/cristiano-ronaldo-man-utd-instagram/
9,EAGLES LAND,Crystal Palace have EIGHT senior players on tour with unvaccinated stars out,https://www.thesun.co.uk/sport/19190303/crystal-palace-eight-players-pre-season-unvaccinated-missing/
10,K-LEAGUE 3 SPURS 6,Kane and Son score two goals each in thriller as Richarlison makes debut,https://www.thesun.co.uk/sport/football/19186948/k-league-tottenham-result-kane-son-richarlison-debut/
11,FORSED OUT,Spurs new boys Bissouma and Forster miss Team K-League win after getting Covid,https://www.thesun.co.uk/sport/football/19189188/tottenham-bissouma-forster-covid-positive-team-k-league-game/
12,ROYAL GRUMBLE,Spurs fans all saying the same thing about Emerson after he misses open goal,https://www.thesun.co.uk/sport/football/19187717/emerson-royal-tottenham-fans-miss-pre-season/
13,NIGHTMARE,'I went the last year with no pay' reveals ex-Hibs as he takes old club to court,https://www.thesun.co.uk/sport/football/19191132/year-without-pay-hibs-club-court-contract/
14,GIFT OF THE GAB,Jesus scores in secret Arsenal match ahead of US pre-season tour,https://www.thesun.co.uk/sport/19182771/arsenal-secret-friendly-gabriel-jesus/
15,LIS-TEN UP,Stats show ball-playing rock Lisandro Martinez will be Man Utd's No1 defender,https://www.thesun.co.uk/sport/19189120/man-utd-transfer-lisandro-martinez-stats-compared/
16,AXEL OUT,Axel Tuanzebe forced to quit Man Utd pre-season tour with 'personal issue',https://www.thesun.co.uk/sport/football/19182889/axel-tuanzebe-man-utd-tour/
17,RISK & ROO-WARD,Rooney says US gamble is worth the risk despite wife Coleen staying at home,https://www.thesun.co.uk/sport/19187151/wayne-rooney-dc-united-gamble-man-utd/
18,KYL'D OFF,Fans convinced Neymar SNUBBED Kylian Mbappe in training to work with Lionel Messi,https://www.thesun.co.uk/sport/football/19181440/neymar-mbappe-training-lionel-messi/
19,LUK HAS CHANGED,Jovic beats appalling Real goals record in just 28 MINUTES for Fiorentina,https://www.thesun.co.uk/sport/football/19185739/real-madrid-jovic-fiorentina/
20,LIONESSES,Get England at 80/1 to win Women's European Championships with William Hill,https://www.thesun.co.uk/sport/betting-tips/19049116/womens-euros-2022-football-betting-odds-free-bets-england/
21,FREE BONUS,Sign up to Sun Vegas now for a £10 bonus – with NO deposit required!,https://www.thesun.co.uk/sun-bingo/15204465/free-bets-sun-vegas-no-deposit/
22,CASH BACK,The Open: Get Money back as CASH up to £20 if your bet loses - 18+ T&Cs apply,https://www.thesun.co.uk/sport/betting-tips/17372478/the-open-golf-2022-paddy-power-free-bets-offer/
23,ROSE RETURN,Danny Rose plays for Tottenham despite still being contracted to Watford,https://www.thesun.co.uk/sport/football/19179525/danny-rose-training-tottenham-watford/
24,OUT OF LUC,Arsenal outcast Torreira agrees terms with Valencia and will beg Arteta for sale,https://www.thesun.co.uk/sport/19187546/arsenal-lucas-torreira-agrees-personal-terms-valencia-beg-arteta/
25,MOUSS SIGN,Newcastle 'plan final Diaby transfer push before moving on to other targets',https://www.thesun.co.uk/sport/19185665/newcastle-final-moussa-diaby-transfer-push-leverkusen-open/
26,CASE FOR DEFENCE,How Chelsea's 5 defender targets rate as they near Ake & Koulibaly deals,https://www.thesun.co.uk/sport/19183035/chelsea-transfer-defenders-compared-ake-koulibaly/
27,TREBLE SELL,Man Utd set to sell THREE centre-backs after Lisandro Martinez's £46m arrival,https://www.thesun.co.uk/sport/19188869/man-utd-sell-three-defenders-lisandro-martinez-transfer/
28,THE JONG DIRECTION,Man Utd blow as Frenkie de Jong's agent tells Barcelona he WON'T leave,https://www.thesun.co.uk/sport/football/19186209/man-utd-transfer-frenkie-de-jong-barcelona-2/
29,RECORD FEE,Collins becomes costliest Irish player EVER as Wolves nab Burnley ace for £20.5m,https://www.thesun.co.uk/sport/football/19179449/nathan-collins-wolves-transfer-burnley-costliest-irish-player/
30,STOP THE MOUNT,Mount ready to talk new Chelsea deal amid interest from three Prem rivals,https://www.thesun.co.uk/sport/football/19182507/mason-mount-new-chelsea-contract-transfer-premier-league/
31,STARS 'N STRIPES,Best MLS XI after Bale makes LAFC transfer including Chiellini and Insigne,https://www.thesun.co.uk/sport/football/19169917/mls-bale-lafc-transfer-chiellini-insigne-rooney/
32,HOME GROAN,Pogba reveals 3 ‘problems’ at Man Utd as he ‘follows his heart’ with Juve return,https://www.thesun.co.uk/sport/football/19176010/pogba-juventus-man-utd-problems/
33,POG BACK,Pogba and Lukaku among 10 best paid players in Serie A but behind Man Utd flop,https://www.thesun.co.uk/sport/football/19151963/paul-pogba-romelu-lukaku-serie-a-top-earners/
34,LEW MUST BE JOKING,Bayern 'believe they can sign Harry Kane' to replace Robert Lewandowski,https://www.thesun.co.uk/sport/football/19182567/bayern-munich-harry-kane-transfer/
35,EDIN FOR ITALY?,"Ex-Man Utd star Cavani, 35, in shock talks on joining Serie A minnows Monza",https://www.thesun.co.uk/sport/football/19180001/edinson-cavani-monza-man-utd-transfer-serie-a-salernitana/
36,GUNNER TAKE A LUC,Arsenal move for Paqueta 'very possible' with Arteta and Edu keen,https://www.thesun.co.uk/sport/19186637/arsenal-transfer-paqueta-possible-mikel-arteta-edu-lyon/
37,SCAMA A HAMMER?,West Ham 'one step away' from completing £40m transfer for striker Scamacca,https://www.thesun.co.uk/sport/football/19179757/west-ham-sassuolo-gianluca-scamacca-transfer/
38,GUNNERS LATEST,"Gunners quoted £33m for N'Golo Kante, Milinkovic-Savic £42.3m offer lined up",https://www.thesun.co.uk/sport/19098994/arsenal-transfer-news-live-ngolo-kante-milinkovic-savic-paqueta/
39,BLUES LATEST,"Raheem Sterling SIGNS, Koulibaly medical TOMORROW, Kimpembe lined up next",https://www.thesun.co.uk/sport/football/18984148/chelsea-transfer-news-live-raheem-sterling-kalidou-koulibaly-kimpembe/
40,UNITED LATEST,"£46m Lisandro Martinez EXCLUSIVE, Eriksen to sign THIS WEEK",https://www.thesun.co.uk/sport/football/19072018/man-utd-transfer-news-live-christian-eriksen-cristiano-ronaldo-frenkie-de-jong/
41,LORD AL-WRIGHTY,Ian Wright blasts Lord Sugar in row over BBC punditry at Women's Euros,https://www.thesun.co.uk/sport/football/19168827/ian-wright-lord-sugar-bbc-euros/
42,WINNER WINNER,"Win a VW Transporter or £47,500 cash from just 89p with Sun discount code",https://www.thesun.co.uk/sport/betting-tips/18918779/win-vw-transporter-7days-performance/
43,BUG BOTHER,Switzerland squad struck down by illness with EIGHT players confined to rooms,https://www.thesun.co.uk/sport/19162984/switzerland-squad-illness-womens-euros/
44,DESPERATE APPEAL,Switzerland boss begs for toilet roll after Euro squad is hit by virus,https://www.thesun.co.uk/sport/19174038/toilet-roll-switzerland-women-euro-2022-virus/
45,'ONE GAME',England heroes Duggan and James back equality campaign during Women's Euros 2022,https://www.thesun.co.uk/sport/19165440/england-toni-duggan-david-james-womens-euros-2022/
46,FAMILY AFFAIR,Georgina Rodriguez posts cute photos on family outing but no sign of Ronaldo,https://www.thesun.co.uk/sport/football/19179162/georgina-rodriguez-pictures-ronaldo/
47,PORN FEUD,Matt Le Tissier falls out with son & daughter-in-law after she became a porn star,https://www.thesun.co.uk/sport/19147386/matt-le-tissier-daughter-in-law-onlyfans-porn-star-england/
48,SUNNING IT UP,Brazil legend Ronaldo frolics in sea with girlfriend Celina aged 45 in Ibiza,https://www.thesun.co.uk/sport/19160072/brazil-ronaldo-girlfriend-ibiza-holiday/
49,DAVE KIDD,Tottenham finally ready to shed 'Spursy' tag as Conte brings in quality early,https://www.thesun.co.uk/sport/19165277/tottenham-shed-spursy-tag-antonio-conte-transfer/
50,NEIL CUSTIS,Ronaldo transfer saga threatens to derail Man Utd boss Erik ten Hag's plans,https://www.thesun.co.uk/sport/football/19165957/ronaldo-transfer-saga-derail-man-utd-plans-sports-column/
51,MARK IRWIN,Man Utd boss Ten Hag and Lampard will be nervous now Pochettino is a free agent,https://www.thesun.co.uk/sport/19128687/pochettino-man-utd-ten-hag-chelsea-managers-beware/
52,SUCK IT AND SEA,"Ronaldo, Messi and Benzema all eat secret vegetable to stay in top shape",https://www.thesun.co.uk/sport/19183128/ronaldo-messi-benzema-seaweed-diet/
53,KAI FLIER,Rooney's son Kai signs deal with Puma aged 12 ahead of dad's DC United move,https://www.thesun.co.uk/sport/19169840/wayne-rooney-son-kai-puma-man-utd-dc-united/
54,'JERSEYS ARE NOW RUINED',Football fan fuming after Jorginho signs kits instead of Pulisic,https://www.thesun.co.uk/sport/19183042/chelsea-fan-jorginho-autograph-christian-pulisic/
55,'PRAYING FOR PEACE',Ukrainian lad auctions off signed Ronaldo shirt in huge boost to army,https://www.thesun.co.uk/sport/19184465/cristiano-ronaldo-shirt-auctioned-ukrainian-boy-war-effort/
56,BABY RON,Ronaldo's Wag Georgina Rodriguez shares cute snap of baby Bella Esmeralda,https://www.thesun.co.uk/sport/19173160/man-united-ronaldo-rodriguez-baby-pic/
